"","x"
"3387",3428703.4006866
"3388",62472046.5385458
"3389",877711612.991236
"3390",5349125.31032143
"3391",5926823.98726065
"3392",4800765.77517211
"3393",746072.222041552
"3394",62890365.9414422
"3395",76503410.1805199
"3396",1948684.15699358
"3397",197039.473257781
"3398",245613677.557341
"3399",62843393.4848147
"3400",5174654.16238288
"3401",1078051.04226582
"3402",742176.820996629
"3403",16941128.9028137
"3404",9934957.20750395
"3405",11840149.0790631
"3406",84562084.4988148
"3407",189794519.881939
"3408",15856263.0211231
"3409",500966.398450834
"3410",31196356.5764056
"3411",51444363.8765959
"3412",10635380.5285151
"3413",22869686.9906186
"3414",580371.244070127
"3415",6596082.18541495
"3416",7698277.47177374
"3417",61176773.6792763
"3418",43115976.1998699
"3419",216422745.385189
"3420",691998.368248682
"3421",4568315.51757259
"3422",633061.570762644
"3423",346099657.938706
"3424",151820.958470594
"3425",2195519.28622545
"3426",12515968.4535261
"3427",21049526.2199351
"3428",1183329.30997753
"3429",14983344.473632
"3430",471470302.480975
"3431",1298666.40470788
"3432",1665864.37726546
"3433",4278761.31767702
"3434",4227113.12276707
"3435",178993661.136215
"3436",126652907.415884
"3437",2072655.43377607
"3438",8649532.54375157
"3439",33863175.2636056
"3440",34047057.8650596
"3441",36950524.0763281
"3442",1509855.64432484
"3443",2100395.95849278
"3444",631259.896922959
"3445",34303848.1474608
"3446",303197.098404662
"3447",3099666.82311188
"3448",24120955.0984103
"3449",5530384.31407828
"3450",37625683.0333719
"3451",25798322.8308599
"3452",28165972.6444565
"3453",31908641.8822017
"3454",20928086.5119157
"3455",5617650.66857896
"3456",95876382.5181923
"3457",5537506.89021778
"3458",12663131.6270888
"3459",460657710.161008
"3460",16193677.0727544
"3461",3744835.18795467
"3462",7014910.91948962
"3463",19084976.6081944
"3464",114426.182650883
"3465",20500234.0341884
"3466",13867590.0615446
"3467",5526346.6960704
"3468",32969815.5291209
"3469",678352.053106313
"3470",246066.67037726
"3471",33363501.847822
"3472",393251.139352565
"3473",42975387.0757917
"3474",14214577.3661877
"3475",146833256.448624
"3476",4587825.42850914
"3477",27820433.2204385
"3478",3292218.58363941
"3479",129334402.841954
"3480",3550272.39609364
"3481",2332467.08747814
"3482",2162434.69057775
"3483",1537720.20797584
"3484",371271.707262115
"3485",92062569.7372246
"3486",106778748.575381
"3487",56354313.175811
"3488",17829158.2367517
"3489",3240560.68039994
"3490",12259984.058324
"3491",16160706.1700805
"3492",1531438.72859359
"3493",15365681.4312568
"3494",1229469.2505244
"3495",52906157.8538835
"3496",6189430.77453676
"3497",38011450.7679614
"3498",11185440.0652263
"3499",15068401.0211357
"3500",354463.678864338
"3501",76893185.4563169
"3502",36561095.7157431
"3503",11075679.1670311
"3504",56508971.7639002
"3505",1521955.03004435
"3506",47265091.932618
"3507",98650103.4369414
"3508",14381002.6567142
"3509",2837139.2316791
"3510",13516884.8655009
"3511",25570414.6375351
"3512",160997758.356653
"3513",1973878.09000205
"3514",6707044.10227742
"3515",1295936.22660111
"3516",11056899.4396332
"3517",490131892.246542
"3518",19481007.7179586
"3519",3751452.93635943
"3520",641001.204938126
"3521",167106.044588357
"3522",5760775.14095069
"3523",9616384.94717306
"3524",37684370.3431395
"3525",72443050.6860094
"3526",8066804.86248361
"3527",11129290.0009748
"3528",1940001.57573181
"3529",261209142.520694
"3530",13393012.2972428
"3531",41793377.5533477
"3532",53283039.9297514
"3533",24824766.0176176
"3534",18203422.3894753
"3535",173162322.340769
"3536",4839106.24284285
"3537",76303110.2056801
"3538",27709027.0972182
"3539",43709850.7451166
"3540",4146196.732068
"3541",8070191.91843145
"3542",15148871.7983998
"3543",171952.516376551
"3544",26873428.4233938
"3545",660211.187177954
"3546",1762555.67239783
"3547",81844874.7408075
"3548",287695123.500781
"3549",1469142.25023955
"3550",150423100.06734
"3551",64184820.6118014
"3552",24522226.9404842
"3553",6970452.85054352
"3554",157329255.894749
"3555",128473553.585809
"3556",29739807.6518333
"3557",6685475.34380828
"3558",115583993.010255
"3559",20273981.8605619
"3560",721783.868135922
"3561",65427812.1637324
"3562",3380551.29597209
"3563",2672644.61059502
"3564",209901.29524845
"3565",3719961.7718367
"3566",18015482.9185553
"3567",5208054.30034747
"3568",3402211.46618297
"3569",91096833.2179859
"3570",748074.016476905
"3571",28842877.5471478
"3572",139282940.267845
"3573",2745653.60242611
"3574",13647509.8403216
"3575",4436140.3777231
"3576",16492607.0081309
"3577",5687753.02094504
"3578",39833655.6386484
"3579",21919193.3661184
"3580",8953536.40730039
"3581",6085267.08576614
"3582",43401443.7156558
"3583",382373.437710776
"3584",12392409.265928
"3585",23896300.6551635
"3586",12274401.5465642
"3587",1598675.10422378
"3588",1097674.34772622
"3589",15921322.6765906
"3590",4369963.94663927
"3591",217145258.844551
"3592",624474.473538066
"3593",356085.345816844
"3594",3480199.09900471
"3595",11389784.2236664
"3596",10364977.9801883
"3597",3119780.41941092
"3598",26338613.7938339
"3599",6534077.14504622
"3600",2540608.55793731
"3601",238704.316956462
"3602",319887.5358049
"3603",7183242.34675935
"3604",2821093.69151655
"3605",23655990.6163059
"3606",472747.065547163
"3607",49316955.0677894
"3608",67947996.1109072
"3609",418106.381765959
"3610",27316677.7831498
"3611",327452.880109299
"3612",2884854.55760052
"3613",1306340.72117717
"3614",41193476.8732932
"3615",39277540.1535399
"3616",4452993.69008018
"3617",6499705.35062743
"3618",65830317.5854749
"3619",71749.060978638
"3620",81439940.904815
"3621",170157251.13766
"3622",64412642.6331282
"3623",42417803.0471945
"3624",164799.480983411
"3625",1710745.80764968
"3626",24122385.9258616
"3627",12715765.2942977
"3628",255324522.652512
"3629",3484808.72768607
"3630",337979.883297943
"3631",79986660.4514938
"3632",1842530.00338265
"3633",38518341.582166
"3634",725318.302919913
"3635",1440084.21029677
"3636",27459172.3226911
"3637",706966.420828084
"3638",15402786.6734266
"3639",66624065.9621689
"3640",326201511.702777
"3641",1208694.87810863
"3642",974677.738611905
"3643",3461280.28784545
"3644",4860120.92393356
"3645",11749955.1621163
"3646",2597068.06177987
"3647",10069185.7058276
"3648",1811209.88149807
"3649",3593347.42557646
"3650",14526753.0156638
"3651",287970834.937544
"3652",6617942.48373009
"3653",156758171.100653
"3654",4631109.22713662
"3655",7478858.14259232
"3656",6154744.50565712
"3657",201043.541525031
"3658",784843.906341938
"3659",57417536.6506179
"3660",147757365.779057
"3661",4877628.24053182
"3662",26303821.3993334
"3663",351824914.685461
"3664",239638.832811627
"3665",461076.652364173
"3666",11567522.4241365
"3667",85900442.857556
"3668",27217499.9166776
"3669",2750964.76414186
"3670",28074188.5390601
"3671",13752900.5556128
"3672",4673723.74830696
"3673",107344695.959439
"3674",12202089.8562905
"3675",277409274.465917
"3676",56720874.3192563
"3677",2569615.87761755
"3678",4159287.23463824
"3679",21123758.1481469
"3680",1593371.02947932
"3681",4532194.76486684
"3682",99044973.0219568
"3683",2780119.16054284
"3684",58211831.6760289
"3685",87928329.6261133
"3686",1104681.15924167
"3687",117209556.539764
"3688",3280002.64827969
"3689",381098.296778577
"3690",69861680.7080482
"3691",1180035.79617173
"3692",121071.990371995
"3693",126906237.454231
"3694",95404189.4454059
"3695",94132391.0050597
"3696",30995069.4124794
"3697",21234281.0005829
"3698",37586526.8120352
"3699",5161997.87170032
"3700",1685433.01210716
"3701",28522956.9923714
"3702",34008.7461097194
"3703",64246081.8961006
"3704",42961163.4930358
"3705",10441908.6510119
"3706",28243350.0471014
"3707",1338934.11947833
"3708",2237675.82952693
"3709",220164475.341741
"3710",5576875.25041556
"3711",1419521.33063304
"3712",47301347.8008589
"3713",4670017.11109314
"3714",243098.357237844
"3715",14741949.7693178
"3716",1558144.66897785
"3717",286459.37458226
"3718",6206568.48471617
"3719",31112640.1868838
"3720",10230644.0941838
"3721",124368.770508792
"3722",25624403.3927215
"3723",403406.19124481
"3724",7054232.6557837
"3725",14495828.466134
"3726",10499656.055557
"3727",37941116.7427408
"3728",94722569.31306
"3729",16720139.7289192
"3730",27548916.7372907
"3731",106392198.377245
"3732",413665.704477921
"3733",144443640.302254
"3734",368317934.895637
"3735",11365045.7145301
"3736",4591894.07706127
"3737",11024690.4376757
"3738",492388.93937695
"3739",2997130.71556913
"3740",2945671.42995269
"3741",8355233.79909122
"3742",52197557.6290562
"3743",17453915.1124322
"3744",169366428.990599
"3745",25614102.9161693
"3746",124509794.704763
"3747",158597.083740368
"3748",3433585.17013822
"3749",4710053.15046963
"3750",349307.091334342
"3751",4253777.45539029
"3752",1590192.92533561
"3753",4851117.96225841
"3754",34591725.7327955
"3755",58409709.6963247
"3756",4767399.51587055
"3757",166862379.903161
"3758",88522898.1409814
"3759",5911100.89859924
"3760",133490814.193014
"3761",29949018.2626252
"3762",238488285.236045
"3763",21979690.7799369
"3764",18490326.5392942
"3765",2473786.43981116
"3766",1611410.85998707
"3767",5796338.89051507
"3768",2607464.42723388
"3769",333042.737519496
"3770",1689033.05985226
"3771",34672871.6745446
"3772",8343165.11355104
"3773",19725407.0473231
"3774",10621409.524188
"3775",107675018.362965
"3776",49819794.4449617
"3777",1772462.50919621
"3778",136741.00994013
"3779",11024945.1939876
"3780",300068.500153377
"3781",27230305.9303928
"3782",328811.537230031
"3783",21400269.1900162
"3784",2261182.49364005
"3785",197772181.481385
"3786",7829538.86532637
"3787",177789149.65893
"3788",461966382.834211
"3789",6349298.98498868
"3790",280603.837611872
"3791",7263227.00147821
"3792",69268.9117510971
"3793",671135.406024292
"3794",1121870.17556808
"3795",280154044.560885
"3796",2407491.81894007
"3797",6071081.95733474
"3798",22051471.6346745
"3799",4261814.26357798
"3800",1050643.19912214
"3801",77771961.2428959
"3802",601230.956028328
"3803",6578628.95334631
"3804",185607.690921427
"3805",332157.671238175
"3806",37307717.5977104
"3807",753756.967252011
"3808",420320.581482668
"3809",19386978.7431675
"3810",1305951.82232054
"3811",11598092.4829448
"3812",1395814.91825067
"3813",113276.307504165
"3814",773999.405026989
"3815",49151010.2196814
"3816",68553849.6592684
"3817",64489382.6679063
"3818",42809867.3005917
"3819",8311387.88183394
"3820",46316658.8505741
"3821",34015581.335717
"3822",5548036.98229745
"3823",2682917.77896186
"3824",2242502.44176691
"3825",5661685.89936851
"3826",74228529.3859516
"3827",78919604.6036946
"3828",1308815.89995434
"3829",57987.2080598006
"3830",29616542.1817533
"3831",236363.909209778
"3832",168124717.262003
"3833",30244747.9233176
"3834",2397483.51126729
"3835",5393797.03463074
"3836",1075180.10229547
"3837",28557932.1744573
"3838",2972170.3618728
"3839",419986.427866654
"3840",31431327.4752973
"3841",2611690.87378601
"3842",1555856.60065799
"3843",15972250.966378
"3844",862209.64093745
"3845",48739.293291489
"3846",1203758.78660173
"3847",305590.472479029
"3848",1088244.16050896
"3849",63761257.5481776
"3850",4558770.0980786
"3851",22506915.2018585
"3852",1885720.64570277
"3853",59297060.4444917
"3854",110403.312817651
"3855",725478.938456133
"3856",5852067.58357917
"3857",292668817.390278
"3858",330180.46927627
"3859",8289427.34947496
"3860",19361085.3245956
"3861",28468402.3005244
"3862",8985870.25863022
"3863",40039439.8949082
"3864",31837325.0316121
"3865",100370674.609669
"3866",4842447.85071382
"3867",41375797.7891758
"3868",2315943.36174073
"3869",53745189.9407678
"3870",64610236.3196547
"3871",455502116.211077
"3872",5548403.14333719
"3873",16770978.4249333
"3874",589240.903640674
"3875",36583154.7107131
"3876",177114.236829541
"3877",29092018.2220683
"3878",110853520.937043
"3879",243477614.271754
"3880",6534433.36523115
"3881",45014.6193220877
"3882",1185855.86996737
"3883",1236674.23895668
"3884",93539268.0797581
"3885",3615035.86461759
"3886",35004857.5517907
"3887",4237791.61109158
"3888",3573775.6243433
"3889",724204.384959845
"3890",78255912.1032673
"3891",4914182.90947673
"3892",1624587.58138031
"3893",179865626.193276
"3894",36664744.8612058
"3895",26723561.3028514
"3896",37978408.5115979
"3897",6150693.3444292
"3898",26833376.2055731
"3899",407946509.103718
"3900",11129658.8421533
"3901",70519.8452898616
"3902",149315.977252033
"3903",2777769.83577453
"3904",5781471.04619885
"3905",7693828.89726188
"3906",45044997.0884125
"3907",1427164.21678644
"3908",1031180.27332239
"3909",444795.082963649
"3910",12051920.87359
"3911",324922.485329532
"3912",5777364.4029065
"3913",63260049.3711676
"3914",18344337.8567096
"3915",277436859.518144
"3916",217453.330354215
"3917",3801210.57581361
"3918",1291104.06927361
"3919",54195993.2106462
"3920",15755344.5299482
"3921",330437.770153285
"3922",12136478.4657892
"3923",34801112.405864
"3924",26193782.355533
"3925",190048778.074942
"3926",3146263.72657107
"3927",60946556.9465234
"3928",54578118.4373158
"3929",40672985.2709196
"3930",178614.214628982
"3931",3205356.86507085
"3932",2607149.02547857
"3933",18175079.3699748
"3934",50123921.8507114
"3935",75174.1891435437
"3936",429768.477873724
"3937",119931403.279762
"3938",2338896.41062841
"3939",25455552.6058284
"3940",2065656.11505709
"3941",18886661.0325075
"3942",122455463.59575
"3943",585741000.613947
"3944",14962675.2507243
"3945",42107834.060292
"3946",1549385.56709643
"3947",25986636.3211278
"3948",1430439.79661342
"3949",1966464.63463341
"3950",570208.396410568
"3951",9173706.89839022
"3952",30072689.2965304
"3953",34645836.1468676
"3954",338182887.2255
"3955",2153018.77736029
"3956",45482273.1916476
"3957",4144384.74738531
"3958",640741.880856719
"3959",4572478.07099472
"3960",950297.078633112
"3961",29418138.9367967
"3962",1150260.87214568
"3963",9103664.64686195
"3964",571255059.296037
"3965",55061195.6479379
"3966",8574755.34750506
"3967",319460337.322862
"3968",28561032.0169304
"3969",5025036.94934696
"3970",18127899.59365
"3971",12214030.2400793
"3972",4420721.53588108
"3973",25276741.1556949
"3974",59945.3459345887
"3975",54371617.6755706
"3976",55157431.7419094
"3977",76951051.7863004
"3978",106846118.980556
"3979",3351778.55204029
"3980",422603.026662805
"3981",1102031.66401021
"3982",3085269.36015806
"3983",7787764.79239226
"3984",51676928.9053698
"3985",1364093.36132641
"3986",732831233.92287
"3987",24686529.2538467
"3988",2599777.58312748
"3989",17964142.5155068
"3990",21881296.1837976
"3991",730282.972974101
"3992",630077.942666923
"3993",6857055.13471973
"3994",29233581.66968
"3995",15344335.6154069
"3996",37861011.5293208
"3997",5468284.37398602
"3998",61310470.9823675
"3999",5494592.13108677
"4000",19452759.6590545
"4001",940364.802554112
"4002",78475899.7882605
"4003",184822.773327706
"4004",45143861.2995681
"4005",31814.1030256608
"4006",36456468.3118747
"4007",316127.950591459
"4008",4624200.1233355
"4009",9117807.03198182
"4010",368521.024054121
"4011",8040544.50578386
"4012",132811158.655107
"4013",44539221.5156275
"4014",369704.383563826
"4015",37865264.2660101
"4016",21007629.5953262
"4017",7866608.36472864
"4018",30585292.8957134
"4019",122120320.599721
"4020",2730939.31796106
"4021",58534092.5123735
"4022",7912336.02679464
"4023",191151194.419071
"4024",14717501.8243338
"4025",419060.182409286
"4026",59963893.9935671
"4027",40549714.7012552
"4028",1665166.185676
"4029",56209.0596543454
"4030",13840246.5190803
"4031",45119883.3017288
"4032",226465.16634938
"4033",123286.67133305
"4034",504336.94431743
"4035",64084912.2247509
"4036",1125678.06140132
"4037",6915928.37105423
"4038",2345380.3371378
"4039",11557947.3656301
"4040",3362815.88797976
"4041",200185.37570868
"4042",39911155.2587783
"4043",3552811.953806
"4044",50719934.4422607
"4045",31403018.5883534
"4046",4429018.93210803
"4047",330938306.311198
"4048",5026562.25292784
"4049",45054.9389101371
"4050",508292.733598312
"4051",331393238.427421
"4052",3010078.96744928
"4053",1004676.54506458
"4054",347332.42026704
"4055",6036662.54260676
"4056",1792087.51509677
"4057",8533.90078335565
"4058",1808762.59033697
"4059",3948778.99114741
"4060",55052943.8203386
"4061",113760419.890755
"4062",23206138.4306743
"4063",7953455.14552527
"4064",225303281.394991
"4065",77537717.7038615
"4066",2199407.50826825
"4067",24759867.4711329
"4068",1226103.57148794
"4069",9283896.36447734
"4070",5347269.30643586
"4071",3167215.92937605
"4072",11768858.7302334
"4073",84738060.3978044
"4074",12506.8050660573
"4075",8536043.95913023
"4076",41157251.5006178
"4077",202235491.383418
"4078",3233289.67540792
"4079",88993420.8519352
"4080",3054487.25361013
"4081",10021270.6014842
"4082",146214219.585844
"4083",11269713.8210207
"4084",95455.7121259125
"4085",9629671.81328081
"4086",91532785.7584433
"4087",4012558.60099539
"4088",38182314.5834107
"4089",11918491.3017082
"4090",2656245.60459385
"4091",27651161.5520207
"4092",23159781.4548486
"4093",23571330.4519276
"4094",2486694.10123565
"4095",112924191.259546
"4096",9029655.91375284
"4097",55660700.6105167
"4098",6736850.78366278
"4099",4332321.79831829
"4100",19054751.9048931
"4101",31748053.682357
"4102",1844208.32897989
"4103",42103385.6040748
"4104",1998519.60079467
"4105",192475.244262451
"4106",1222405.9450662
"4107",356758.177153727
"4108",22703179.5868621
"4109",443862.234004675
"4110",20048281.4651307
"4111",2379910.09319921
"4112",6441554.5023496
"4113",914346.620987571
"4114",67115284.1072207
"4115",2522656.17734844
"4116",12970621.8931252
"4117",3736908.26260659
"4118",19082466.7578004
"4119",26669487.4339344
"4120",1059441.91456967
"4121",2209715.17543049
"4122",131229906.793735
"4123",1836076.31064638
"4124",40017840.0635444
"4125",8205079.24641455
"4126",6189832.0468007
"4127",3873968.94037161
"4128",12080046.2092904
"4129",536228.482258044
"4130",1373064.58319428
"4131",84640345.5794839
"4132",80433493.3044413
"4133",27810859.0147015
"4134",5293073.12759888
"4135",16126543.3383223
"4136",320898421.714262
"4137",4200610.87892676
"4138",23978373.4213772
"4139",5823195.34686687
"4140",1147612.66158976
"4141",2622996.4314491
"4142",21199115.4585708
"4143",26079853.1720778
"4144",3100092.15844729
"4145",4959399.61205863
"4146",2287630.30090006
"4147",219332.931525441
"4148",4843776.75984949
"4149",7190171.22766249
"4150",408844.512428896
"4151",209843.583204259
"4152",20598686.1145688
"4153",10043176.3764369
"4154",1000432.91306728
"4155",12279130.9876669
"4156",2016659.07428676
"4157",2343948.02278841
"4158",11143517.083745
"4159",35279700.1373456
"4160",151858454.075479
"4161",6657477.87168225
"4162",14586358.234904
"4163",77204660.8048348
"4164",4605641.97488033
"4165",3684418.30143066
"4166",967846.65416759
"4167",15349636.0661563
"4168",1052084.85733478
"4169",352651.81071254
"4170",1289631.54778593
"4171",100065682.41611
"4172",41718969.0286935
"4173",959442.419788038
"4174",1486963.08047444
"4175",1109726.90792994
"4176",12824688.3522095
"4177",41443.9909083774
"4178",390307795.332514
"4179",483094.031676875
"4180",80652688.5848133
"4181",17930217.3088043
"4182",1479259.07134051
"4183",39929193.4898125
"4184",8105028.73050473
"4185",1453550.19748449
"4186",2378193.55997249
"4187",3544031.72497367
"4188",11328669.4146773
"4189",386651.94318694
"4190",71291.8977640702
"4191",481419.190289874
"4192",50381.1947817984
"4193",222927482.226309
"4194",94779383.3732013
"4195",3361145.33888302
